time,action,category,source,target
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\附件2：党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心李中华-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心李中华-党员先锋岗申报表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心党支部：党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\数字化与稽核中心党支部：党员先锋岗打分表.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084309.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084309.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084303.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084303.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084257.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084257.jpg
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\孟州KPI画像.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\孟州KPI画像.docx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\市场部党支部贯彻落实特色亮点（2021-2026）.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\市场部党支部贯彻落实特色亮点（2021-2026）.docx
2026-07-22 10:39:18,dry-run,过程材料-党建品牌/融合案例,D:\DingTalkDownload\2026年党建品牌考核指标(市场线)(0721).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党建品牌与融合案例\2026-07\2026年党建品牌考核指标(市场线)(0721).xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\党员先锋岗打分表(1).xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表(1).xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\附件2：党员先锋岗申报表-创新冯云霞.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-创新冯云霞.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\附件2：党员先锋岗申报表-创新马孟超.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\附件2：党员先锋岗申报表-创新马孟超.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\党员先锋岗打分表.机动通信局第二季度xlsx.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\党员先锋岗打分表.机动通信局第二季度xlsx.xlsx
2026-07-22 10:39:18,dry-run,待归档,D:\DingTalkDownload\扫描全能王 2026-07-21 16.24.pdf,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\扫描全能王 2026-07-21 16.24.pdf
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\【附件】附件2：综服王杰-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\【附件】附件2：综服王杰-党员先锋岗申报表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\【附件】附件2：综服马艳丽-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\【附件】附件2：综服马艳丽-党员先锋岗申报表.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\综服党员先锋岗打分表2026年二季度.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\综服党员先锋岗打分表2026年二季度.xlsx
2026-07-22 10:39:18,dry-run,过程材料-党建考核/微巡查,D:\DingTalkDownload\孟州微巡察推动会.pptx,E:\sl_obsidian\200督导考核岗\240过程材料归档\党建考核与微巡查\2026-07\孟州微巡察推动会.pptx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.7.21_办公室党支部党员先锋岗考核表 -.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.7.21_办公室党支部党员先锋岗考核表 -.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.7.21_办公室党支部二季度先锋岗考核表.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.7.21_办公室党支部二季度先锋岗考核表.JPG
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.4.10_附件2：党员先锋岗申报表_王永旗.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_附件2：党员先锋岗申报表_王永旗.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.4.10_附件2：党员先锋岗申报表_余新生.xlsx,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_附件2：党员先锋岗申报表_余新生.xlsx
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.4.10_办公室党支部二季度党员先锋岗_王永旗.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_办公室党支部二季度党员先锋岗_王永旗.JPG
2026-07-22 10:39:18,dry-run,过程材料-立足岗位做贡献,D:\DingTalkDownload\办公室党支部二季度党员先锋岗\2026.4.10_办公室党支部二季度党员先锋岗_余新生.JPG,E:\sl_obsidian\200督导考核岗\240过程材料归档\立足岗位做贡献与党员先锋岗\2026-07\2026.4.10_办公室党支部二季度党员先锋岗_余新生.JPG
