source,target,extension,status,paragraphs,tables,sheets
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会及民主评议党员会议纪要-交付中心V1.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会及民主评议党员会议纪要-交付中心V1.md,.docx,converted,112,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言提纲-模板-连艳利V5.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言提纲-模板-连艳利V5.md,.docx,converted,72,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言提纲-闫林林.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言提纲-闫林林.md,.docx,converted,35,0,
D:\work\2026\4\5 组织生活会\1 交付\2025年度组织生活会发言材料-李祯.docx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\2025年度组织生活会发言材料-李祯.md,.docx,converted,39,0,
D:\work\2026\4\5 组织生活会\1 交付\交付中心党支部2025年度组织生活会整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\交付中心党支部2025年度组织生活会整改清单.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\1 交付\附件3：民主评议结果报告.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\附件3：民主评议结果报告.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\1 交付\附件：学习教育查摆问题整改整治台账（模板)+-各市分公司 (2).xlsx,E:\sl_obsidian\converted_markdown\组织生活会\1 交付\附件：学习教育查摆问题整改整治台账（模板)+-各市分公司 (2).md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\10 创新\个人发言材料-张红.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\个人发言材料-张红.md,.docx,converted,48,0,
D:\work\2026\4\5 组织生活会\10 创新\个人发言材料-马诗琪.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\个人发言材料-马诗琪.md,.docx,converted,96,0,
D:\work\2026\4\5 组织生活会\10 创新\创新业务支撑中心党支部2025年度组织生活会整改清单.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\创新业务支撑中心党支部2025年度组织生活会整改清单.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\10 创新\创新业务支撑中心支部委员会对照检查材料.docx,E:\sl_obsidian\converted_markdown\组织生活会\10 创新\创新业务支撑中心支部委员会对照检查材料.md,.docx,converted,110,0,
D:\work\2026\4\5 组织生活会\11 办公室\2-0+2025办公室支部组织生活会＿问题整改清单1.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-0+2025办公室支部组织生活会＿问题整改清单1.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\11 办公室\2-1+28名党员批评与自我批评具体内容.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-1+28名党员批评与自我批评具体内容.md,.docx,converted,17,0,
D:\work\2026\4\5 组织生活会\11 办公室\2-128名党员批评与自我批评具体内容.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\2-128名党员批评与自我批评具体内容.md,.docx,converted,17,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-12025年度组织生活会个人发言成春红.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-12025年度组织生活会个人发言成春红.md,.docx,converted,62,0,
D:\work\2026\4\5 组织生活会\11 办公室\3-2个人发言材料＿办公室李芳.docx,E:\sl_obsidian\converted_markdown\组织生活会\11 办公室\3-2个人发言材料＿办公室李芳.md,.docx,converted,39,0,
