"Status","File","Bytes","URL"
"EMPTY_OR_JUMP","核心力+AI： 3 个月走完“方法论 + AI 驱动工作流”的蜕变之路.md","818","https://appob15klrt9190.h5.xet.pomoho.com/p/course/text/i_6a293911e4b0694c5bd436d3?channel_id=&entry=2&entry_type=2002&pro_id=&type=2&share_user_id=u_6a4f47362412d_s1d99pCGrv&share_type=5&scene=%E5%88%86%E4%BA%AB"
"EMPTY_OR_JUMP","核心力+AI-他的能力和收入在今年迎来爆发式增长.md","818","https://appob15klrt9190.h5.xet.pomoho.com/p/course/text/i_6a2fa9c8e4b0694c5bd732c3?type=2&channel_id=&pro_id=&entry=2&entry_type=2002&share_user_id=u_6a4f47362412d_s1d99pCGrv&share_type=5&scene=%E5%88%86%E4%BA%AB"
"EMPTY_OR_JUMP","知识星球 - 深度连接铁杆粉丝，运营高品质社群，知识变现的工具 2.md","569","https://t.zsxq.com/yE7MU"
"EMPTY_OR_JUMP","知识星球 - 深度连接铁杆粉丝，运营高品质社群，知识变现的工具 3.md","569","https://t.zsxq.com/gdDL8"
"EMPTY_OR_JUMP","知识星球 - 深度连接铁杆粉丝，运营高品质社群，知识变现的工具 4.md","569","https://t.zsxq.com/ulhLx"
"EMPTY_OR_JUMP","知识星球 - 深度连接铁杆粉丝，运营高品质社群，知识变现的工具.md","569","https://t.zsxq.com/vdly0"
"KEEP","《毛选》五十一：遇到死局，除了硬扛还能干嘛？1943年，4万对40万，教员没选硬打.md","12627","https://mp.weixin.qq.com/s?__biz=MzI3NzY5ODc5NA==&mid=2247485812&idx=1&sn=583bbd1a24f96d0ebc0b7f2d078e508e&chksm=ead28fbab5da84a42cdafe56ad842de1bc6d3dced91d0b59e22fc9965e00d4478965a3d3954f&mpshare=1&scene=1&srcid=0730tK0MihPbPWGiG9iiqZ6z&sharer_shareinfo=a421909a31e45281de457bbca47109b2&sharer_shareinfo_first=a421909a31e45281de457bbca47109b2#rd"
"KEEP","AI使用效果 · 能力诊断测评 - YouCore.md","2573","https://lesson.youcore.cn/_share/%E8%BF%90%E8%90%A5-AI%E8%83%BD%E5%8A%9B%E6%B5%8B%E8%AF%84/AI%E8%83%BD%E5%8A%9B%E6%B5%8B%E8%AF%84%E9%97%AE%E5%8D%B72.0.html"
"KEEP","AI四个方向.md","24497","https://mp.weixin.qq.com/s?__biz=MzIzODE1MDY4MQ==&mid=2247488833&idx=1&sn=2ca9ebbec64bb91bf439e11fa87d3090&chksm=e87742913c263a3c7ff22d3bd99984f55aa6f646125419269f05c893e3ac592fd5beafd6b15d&mpshare=1&scene=1&srcid=0803zsZufKD51gxMVVt0UyAt&sharer_shareinfo=b3238fe8924c650f068c4848f1f5937f&sharer_shareinfo_first=0e3fd33c7307ecdfff61ad9c8604e5b3#rd"
"KEEP","Codex+企微：员工问题标准化.md","7181","https://mp.weixin.qq.com/s?__biz=MzYzMzM4MDA5Mw==&mid=2247484463&idx=1&sn=abeeccf7fbb2b818cd5de6784c2135a5&chksm=f1e451fe0dce20942cabf566e210d9daa69fded7667a654f62d60f6a4248e6cd4afe80560fd7&mpshare=1&scene=1&srcid=0801OwK5f3HocnDljYspjQOD&sharer_shareinfo=0543e688d14c2837006af377ec19cadf&sharer_shareinfo_first=0543e688d14c2837006af377ec19cadf#rd"
"KEEP","DeepSeek 正式打通 Codex，编程起飞.md","5161","https://mp.weixin.qq.com/s?__biz=MzA3MDQ0MDIxNg==&mid=2650008638&idx=1&sn=c5b3981a241d287ed9ef6011748e036a&chksm=86c8d12957139e4a23243417af0482a9e1f74de786f52444ffa34c904ce3d55c0890bd97cc54&mpshare=1&scene=1&srcid=0801VXoKkNjPMsFghyUnnZHI&sharer_shareinfo=e2bda4bdc9bbaf99675c40717f68324f&sharer_shareinfo_first=e2bda4bdc9bbaf99675c40717f68324f#rd"
"KEEP","DeepSeek+WorkBuddy，下一代Office工作台来了！.md","11589","https://mp.weixin.qq.com/s?__biz=MzkwMzE4NjU5NA==&mid=2247518993&idx=1&sn=6a46f194133dd904aac1044c11260cb5&chksm=c1277f6d9b52b3db55d8d1960a5bfd928c1dc9428fdd55ecba6ebfb04763667de3a04ed5a0ad&mpshare=1&scene=1&srcid=0803kBWg53nVxJopLexrIjZn&sharer_shareinfo=d42ab53b3f82c1d8fc7ae01a8c5579fb&sharer_shareinfo_first=d42ab53b3f82c1d8fc7ae01a8c5579fb#rd"
"KEEP","Obsidian+DeepSeek：改3行，AI读完你所有笔记.md","8690","https://mp.weixin.qq.com/s?__biz=MzY5ODM4Nzk4Mw==&mid=2247483760&idx=1&sn=22e76d06fffe5aa4d3b8002232c2d22e&chksm=f5aaba446fd6cf5fc4e9a0f25320a1255756cc1884400bd45ff7c52a41b7e4b29cf5358ae3ce&mpshare=1&scene=1&srcid=0802nZNQaEh0Nuq8F0CdoJrm&sharer_shareinfo=eee16b5ad897e9b1a424da1a998f43fc&sharer_shareinfo_first=eee16b5ad897e9b1a424da1a998f43fc#rd"
"KEEP","Obsidian排版神器：公众号×小红书×多账号.md","2155","https://mp.weixin.qq.com/s?t=pages/image_detail&scene=1&__biz=MzE5ODY2MDM4MQ==&mid=2247485805&idx=1&sn=8c29c78b6f6fd8ae22bcc639d5267afd&from_masonry=1&sharer_shareinfo_first=35b4d8f381d7eb1ffa88dcaf977caf88&sharer_shareinfo=35b4d8f381d7eb1ffa88dcaf977caf88#wechat_redirect"
"KEEP","OCI思维：Skill的终点，不是指令，而是目标系统.md","17576","https://mp.weixin.qq.com/s?__biz=MzIxODc1MTM2Nw==&mid=2247491749&idx=1&sn=41bad2bd306ffa5577651a04c176b17c&chksm=96564871f88832b0b935bbfb1d014bb3fdd8e60fde693d0da8aec871c08418632cff01e3aa5b&mpshare=1&scene=1&srcid=0803swwL3sfFapALFje4sSoy&sharer_shareinfo=5043d4f4aee4f3ae8278b4a0012860f2&sharer_shareinfo_first=61e0439ea34bd5a2392666720d94e224#rd"
"KEEP","OPC的党建这样干，是吸引力法则.md","2517","https://www.xiaohongshu.com/discovery/item/6a69b4e1000000000a03b28a?app_platform=android&ignoreEngage=true&app_version=9.40.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBt-ZmLELCCRBPKb67_GDtBJhiajvF54s25E5EFOHD9Ws%3D&author_share=1&xhsshare=WeixinSession&shareRedId=N0wzN0k2Ok42NzUyOTgwNjY0OTc3PDY6&apptime=1785637504&share_id=e2cac2c112b844d49ca2d794cab8535a&share_channel=wechat&code=A8Fn9rDkfdi"
"KEEP","案例｜党业融合为什么总是“两张皮”？中国银行党校找到了破题方法.md","18411","https://mp.weixin.qq.com/s?__biz=MjM5Mjk2MDY2MA==&mid=2656738304&idx=1&sn=02fc2ee59715eea65296cbe3b85a9ed7&chksm=bcff80a46d8f3902a28b80f14a29ddb4a16529b13461660da37babc1c3b9f19cceabbbb98fee&mpshare=1&scene=1&srcid=0805DTOXnsnuipV9aSZRIf7p&sharer_shareinfo=4f954bc6702dd598cfd72242ad0f3120&sharer_shareinfo_first=4f954bc6702dd598cfd72242ad0f3120#rd"
"KEEP","把牛人资料丢进 Codex+Obsidian，让他变成你的私人助教！.md","5245","https://mp.weixin.qq.com/s?__biz=Mzk0ODcxNTI0OA==&mid=2247492169&idx=1&sn=1c1a5b51bb76b3c3a555f398252fc62a&chksm=c20c7217909f3e1efcd46923880b42a2d5f70eebc22e2ec344e71afcf47601e2be1ac791b600&mpshare=1&scene=1&srcid=080275NlwJaAqiAxMN25JLtH&sharer_shareinfo=098f1e5efbb67c21ed44f1a29c3a09e5&sharer_shareinfo_first=098f1e5efbb67c21ed44f1a29c3a09e5#rd"
"KEEP","比学历更重要的，是你终身学习的能力.md","13078","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491135&idx=1&sn=8f625abfb1d1a06f8f7b1348ec282051&chksm=c3ee5e850f98000c58566cbf9105bd9e9cf106c8859c6bca57b5cefb89138a3d852baf8cfcd7&mpshare=1&scene=1&srcid=0729axUroOYg0Aigh0H5tivj&sharer_shareinfo=6c3f8f15720daa7839056f4a40f3e8d9&sharer_shareinfo_first=6c3f8f15720daa7839056f4a40f3e8d9#rd"
"KEEP","从0开始，12步学会用好AI。.md","3726","https://mp.weixin.qq.com/s?scene=1&__biz=MzIyMzA5NjEyMA==&mid=2647685084&idx=1&sn=0899296dbc140eeb745f7a99f9d5ed9c&sharer_shareinfo_first=78cca084a8f8444a9fb4088b55b6b041&sharer_shareinfo=78cca084a8f8444a9fb4088b55b6b041#wechat_redirect"
"KEEP","读懂“最小阻力之路”：卸掉党建多余包袱，贴着生产做实落地.md","6079","https://mp.weixin.qq.com/s?__biz=MzI4MzY0NjIxNg==&mid=2247485884&idx=1&sn=c3f4df66ade19b178b1e20b82b209a38&chksm=eac301a75291ec0268502b67408f95d5298c637fda1c48371859d2fa15cdead8126e505872a4&mpshare=1&scene=1&srcid=0805eO6xvfmlbBy2iDuFIitd&sharer_shareinfo=9bcf3e9f26faa86d38524777c9d7a3fe&sharer_shareinfo_first=9bcf3e9f26faa86d38524777c9d7a3fe#rd"
"KEEP","对低精力的人来说，低强度的坚持才是最重要的.md","9724","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491181&idx=1&sn=7175cba26891e931e3038a7b755d0ac4&chksm=c33e4724769c473ab1c74d4ab76aece0f1be18eff5bbc41c1f6c08db1d5d6d24090f714c0f14&mpshare=1&scene=1&srcid=0804xWwDcJvKoQcsMxpYAFZF&sharer_shareinfo=21d7b1126822a5c1874c00ab13acd170&sharer_shareinfo_first=21d7b1126822a5c1874c00ab13acd170#rd"
"KEEP","给 Workbuddy 装上 Browser-BC 神器，任何操作你录屏一遍就能蒸馏成 Skill.md","8932","https://mp.weixin.qq.com/s?__biz=MzY5MjI4NjA4Mg==&mid=2247484309&idx=1&sn=94a49ee117f93392e6f7d9a0b6a6f238&chksm=f58b9b9d90396ce1d9b240172dd00a631fb80a4b94dff9d727a725dc8b2eba23b3bfaafb7742&mpshare=1&scene=1&srcid=0804F4uc2euh6mBGZOMRsFLK&sharer_shareinfo=f22dd51c33d0563e9f475a5c23457050&sharer_shareinfo_first=f22dd51c33d0563e9f475a5c23457050#rd"
"KEEP","很多人还没意识到，WorkBuddy已经改变了我们学习的方式.md","9053","https://mp.weixin.qq.com/s/07LFG_8wRIK2RWijpZSjFA"
"KEEP","很多人没有意识到：靠自己实践出来的信息，是非常值钱的.md","8797","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491174&idx=1&sn=509700e9ee6e2732aafbdd3f13211315&chksm=c3346138afffa58e35586ce4e2462cd2c88cdb94857338569a93f0a65561bbf2d494741f0283&mpshare=1&scene=1&srcid=0803ZhDIhm7CvWP2Ua76d2oA&sharer_shareinfo=0f1196169f5c35fa9ee5b821910663a1&sharer_shareinfo_first=0f1196169f5c35fa9ee5b821910663a1#rd"
"KEEP","很多人用不好WorkBuddy的最大卡点，是认知框架的落后.md","6897","https://mp.weixin.qq.com/s?__biz=MzY5MjI4NjA4Mg==&mid=2247484301&idx=1&sn=c955065a73c34eed3bf58d93a33065f7&chksm=f5200b0acdbd894d42fe27a1e9bb30854337535c3677f2a50ef0cb298f1787df2c47b6f52234&mpshare=1&scene=1&srcid=0803ENh6IYcoDrOBkLXjKsPX&sharer_shareinfo=a49a1e5e4aa1a06930731062f1a4b85b&sharer_shareinfo_first=a49a1e5e4aa1a06930731062f1a4b85b#rd"
"KEEP","鸡蛋还没孵出来，就别想篮子的事了！.md","8623","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491168&idx=1&sn=921390a2439b6338fb41220dfdb37929&chksm=c3b4a16345690b5aa9f1648ecba960d1437eeea84ed0fe9f9957f9168063dd827661443fb8b6&mpshare=1&scene=1&srcid=0802vjiyqvA6tHQJ8vXvA8gF&sharer_shareinfo=5fcd1bb795fc7b353907cdb020a72fb1&sharer_shareinfo_first=c969500bc5e3f6e566ce7090dc507771#rd"
"KEEP","基础党务，才是党建里最被低估的方法论.md","9911","https://mp.weixin.qq.com/s?__biz=MzY4ODM4NDA0NQ==&mid=2247483695&idx=1&sn=03f8fde7c992609aa35f289e86f9f6c4&chksm=f21fd3ba297eed5ae27d98e55c76806f8c8d49c47ae4f2aa07210b5fae36e73a5fb5df78b000&mpshare=1&scene=1&srcid=0806mt7KVh0teRFNeOFyMbn8&sharer_shareinfo=35b70ad07de395ca63b7cd740b400a99&sharer_shareinfo_first=35b70ad07de395ca63b7cd740b400a99#rd"
"KEEP","几千人催我的 Codex +Obsidian 公众号创作工作流，开源了！.md","10081","https://mp.weixin.qq.com/s/19ULCcKx7U2wnpN-baKDDg"
"KEEP","见世面要在生产端，而不是消费端.md","8983","https://mp.weixin.qq.com/s?__biz=MzkzMTYyOTU2Nw==&mid=2247491144&idx=1&sn=ec44874e9b622c6536b3319a41a14f4e&chksm=c3e49046c1699242076e57b5360da05f90ed322ee349b03d7ab492c488983506540395537a0a&mpshare=1&scene=1&srcid=0731UxIpoqOEtKPuw1hHfBxt&sharer_shareinfo=00c517a2d91d2876dc227975b75f3b8f&sharer_shareinfo_first=00c517a2d91d2876dc227975b75f3b8f#rd"
"KEEP","开源一个排版 Skill｜彻底解决公众号排版难题（建议收藏！）.md","15045","https://mp.weixin.qq.com/s?__biz=MzkxNjY0MzM1MA==&mid=2247493694&idx=1&sn=a2c43b8e01d4500c354cbf2604189f3c&chksm=c09c8f2e83b1fcae6d5b5dea468f060641c9cf123d6318b344da6d596ea6ba512ae0a337d2fb&mpshare=1&scene=1&srcid=0812l5oZWnmmwxyI6yLduB1A&sharer_shareinfo=a89e567825cd63753e8044880b9d665a&sharer_shareinfo_first=a89e567825cd63753e8044880b9d665a#rd"
