"Time","WindowPid","Process","WindowTitle","FocusPid","FocusType","FocusClass","FocusName"
"15:18:34.201","36960","powershell","","36960","ControlType.Pane","#32770",""
"15:18:37.292","36932","powershell","","36932","ControlType.Pane","#32770",""
"15:18:38.351","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:39.219","39536","powershell","","39536","ControlType.Pane","#32770",""
"15:18:40.582","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:41.367","33656","powershell","","33656","ControlType.Pane","#32770",""
"15:18:43.060","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:43.426","412","SLBrowser","中国联通云公文系统 -联想浏览器","644","ControlType.Pane","#32769",""
"15:18:43.684","16900","powershell","","16900","ControlType.Pane","#32770",""
"15:18:45.378","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:46.463","41892","powershell","","41892","ControlType.Pane","#32770",""
"15:18:48.519","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:49.262","22624","powershell","","22624","ControlType.Pane","#32770",""
"15:18:50.849","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:51.741","40812","powershell","","40812","ControlType.Pane","#32770",""
"15:18:53.520","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:18:54.062","32352","ChatGPT","ChatGPT","644","ControlType.Pane","#32769",""
"15:18:54.246","32352","ChatGPT","ChatGPT","32352","ControlType.Edit","ProseMirror ProseMirror-focused","Do anything"
"15:18:56.320","6780","powershell","","6780","ControlType.Pane","#32770",""
"15:19:00.045","32352","ChatGPT","ChatGPT","32352","ControlType.Edit","ProseMirror ProseMirror-focused","Do anything"
"15:19:00.887","37368","powershell","","37368","ControlType.Pane","#32770",""
"15:19:03.780","32352","ChatGPT","ChatGPT","32352","ControlType.Edit","ProseMirror ProseMirror-focused","Do anything"
"15:19:04.507","41976","powershell","","41976","ControlType.Pane","#32770",""
"15:19:06.376","32352","ChatGPT","ChatGPT","32352","ControlType.Edit","ProseMirror","Do anything"
"15:19:06.555","32352","ChatGPT","ChatGPT","32352","ControlType.Edit","ProseMirror ProseMirror-focused","Do anything"
"15:19:07.089","32352","ChatGPT","ChatGPT","644","ControlType.Pane","#32769",""
"15:19:07.429","23736","powershell","","23736","ControlType.Pane","#32770",""
"15:19:07.614","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:19:09.698","26916","powershell","","26916","ControlType.Pane","#32770",""
"15:19:11.403","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input",""
"15:19:13.907","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:14.782","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Document","","新增议题"
"15:19:14.954","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:16.039","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Document","","新增议题"
"15:19:16.209","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:17.379","30532","powershell","","30532","ControlType.Pane","#32770",""
"15:19:17.551","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-textbox-input","请输入"
"15:19:18.248","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:18.940","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Document","","新增议题"
"15:19:19.166","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:20.530","10236","powershell","","10236","ControlType.Pane","#32770",""
"15:19:20.713","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Document","","新增议题"
"15:19:20.904","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Edit","mini-buttonedit-input",""
"15:19:21.411","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Hyperlink","mini-button mini-button-pressed","选择"
"15:19:21.583","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Group","mini-panel mini-window mini-window-drag","添加事项编码(已筛选了“决策会议顺序”中包含当前会议类型“党委会（党支部、党总支）”的事项)"
"15:19:22.198","412","SLBrowser","中国联通云公文系统 -联想浏览器","412","ControlType.Group","mini-panel mini-window mini-window-drag","添加事项编码(已筛选了“决策会议顺序”中包含当前会议类型“党委会（党支部、党总支）”的事项) Loading..."
