num	source	best	group	local	diffs
1	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
2	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
3	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
4	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
5	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
6	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
7	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
8	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
9	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
10	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
11	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
12	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
13	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
14	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
15	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
16	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
17	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
18	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
19	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
20	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
21	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
22	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
23	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
24	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
25	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
26	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
27	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
28	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
29	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
30	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
31	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
32	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
33	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
34	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
35	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
36	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
37	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
38	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
39	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
40	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
41	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
42	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
43	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
44	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
45	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
46	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
47	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
48	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
49	group	0.000	0.000	0.000	issue,leader,respDept,measure,target,deadline
50	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,deadline
51	group	0.000	0.000	0.000	issue,leader,respDept,coordDept,measure,target,deadline
