A51	任务十三：坚持党建引领保障
B51	13-1
C51	加强政治思想建设
D51	王志
E51	党委宣传部
F51	党委办公室、党委组织部、党委巡察办公室、财务部、河南联通党校、工会
G51	其他省公司部门、各地市分公司
H51	党建工作部/工会
I51	办公室、人力资源部、财务部
J51	严格执行 “第一议题”制度，不折不扣落实习近平总书记重要指示批示精神，有力有序开展树立和践行正确政绩观学习教育，持续推动党的政治思想建设全面过硬。
K51	按照年度统筹、月度推进、周度落实的工作节奏开展 “第一议题” 学习，扎实推进学习教育，统筹推进乡村振兴，抓实巡视巡察与审计整改。健全完善、严格执行党委理论学习中心组学习制度，持续巩固壮大主流思想舆论，健全完善荣誉激励体系。
L51	一是规范化落实 “第一议题” 和中心组学习制度。持续优化 “第一议题” 和中心组学习制度，提升学习的规范性。以列席旁听制度为抓手，指导各市分公司全面提升理论学习质效。持续深化 “第一议题” 贯彻落实工作，确保党中央重大决策部署在河南公司落实落地落到位。二是有力有序开展树立和践行正确政绩观学习教育，抓好学习研讨、查摆问题、整改整治、建章立制、开门教育等方面工作安排，教育引导各级党组织和全体党员、干部坚持实事求是、求真务实，有效防范和纠治政绩观偏差。三是统筹推进乡村振兴，建立健全定点帮扶长效管理机制，按年度制定消费帮扶规划，积极参与上级单位组织的消费帮扶专项活动。四是健全巩固长效整改提升机制，聚焦中央巡视反馈及党建考核发现的突出问题，定期开展督查问效，健全常态化考核督导机制。五是持续巩固壮大主流舆论，紧扣公司战略布局，策划并开展系列主题宣传活动，系统整合优化各类宣传平台资源，发掘宣传在改革发展一线的先进典型与创新案例。六是加强企业文化建设，根据集团公司要求和工作进度进行文化强企战略解码，打造河南特色的企业文化体系。梳理完善荣誉激励体系，建立动态调整机制，及时迭代荣誉类别与评价标准。
M51	严格执行 “第一议题”制度，不折不扣落实习近平总书记重要指示批示精神，有力有序开展树立和践行正确政绩观学习教育，持续推动党的政治思想建设全面过硬。
N51	按照年度统筹、月度推进、周度落实的工作节奏开展"第一议题"学习，党委理论学习中心组全年学习不少于12次；扎实推进正确政绩观学习教育，组织专题研讨；持续巩固壮大主流思想舆论，完善荣誉激励体系，做好乡村振兴帮扶工作，抓实巡视巡察与审计整改。
O51	一是规范化落实"第一议题"和中心组学习制度。持续优化 “第一议题” 和中心组学习制度，提升学习的规范性，不断提升学习质效，全年中心组学习不少于12次。

二是有力有序开展树立和践行正确政绩观学习教育。组织开展专题学习研讨不少于1次，抓好学习研讨、查摆问题、整改整治等环节，教育引导全体党员干部坚持实事求是、求真务实，有效防范和纠治政绩观偏差。

三是做好乡村振兴帮扶工作。落实定点帮扶任务，按年度制定消费帮扶计划，积极参与上级单位组织的消费帮扶专项活动，确保帮扶工作落到实处。

四是抓实巡视巡察与审计整改。对照省公司下达的整改任务清单，逐项落实整改措施，定期开展自查自纠，确保整改任务按时销号，防止问题反弹。

五是持续巩固壮大主流思想舆论。紧扣公司中心工作，策划开展主题宣传活动，用好公司内部宣传平台，发掘一线先进典型，营造积极向上的舆论氛围。

六是加强企业文化和荣誉激励体系建设。结合公司实际落实集团文化强企要求，完善荣誉激励机制，及时做好先进典型的评选表彰工作。


P51	严格落实“第一议题”制度，二季度组织党委会13期，累计开展“第一议题”学习57项；上半年累计组织党委会25期，开展“第一议题”学习131项，完成党委理论学习中心组学习6次。围绕树立和践行正确政绩观学习教育，完成动员部署、读书班、专题党课、问题查摆和整改台账建立、完成情况简讯报送；同步推进乡村振兴帮扶、消费帮扶、巡视巡察和审计整改、“七一”表彰及典型宣传等工作，政治思想建设总体达到序时进度。
Q51	按照年度统筹、月度推进、周度落实的节奏有序推进。二季度完成党委会“第一议题”常态化组织，推动各支部开展专题学习研讨和支部书记讲党课；持续推进正确政绩观学习教育，完成查摆问题清单、整改台账建立，并按13日、27日节点持续报送学习教育简讯；同步完成“七一”表彰筹备、乡村振兴及消费帮扶对接、巡视巡察和审计整改台账更新，阶段性任务基本完成。
R51	一是持续优化“第一议题”和中心组学习机制，常态化做好学习主题安排、材料准备和督导落实。
二是扎实开展正确政绩观学习教育，完成动员部署、读书班、专题研讨、专题党课、问题查摆、整改整治和简讯报送等工作。
三是紧扣公司中心工作做好主题宣传、典型选树和“七一”表彰推荐，持续巩固主流思想舆论。
四是落实乡村振兴帮扶和消费帮扶任务，统筹推进巡视巡察、审计整改和问题销号，持续提升政治思想建设成效。
S51	
A55	任务十四：持续抓好中央巡视整改
B55	14-1
C55	持续抓好中央巡视整改
D55	王志
E55	巡视整改办公室
F55	财务部、网络与信息安全部、科技创新部、建设发展部、党委组织部、党委巡察办公室
G55	省公司其他部门、各地市分公司
H55	党建工作部/工会
I55	派驻纪检组、办公室、人力资源部、财务部
J55	持续深化中央巡视整改质效，强化巡视整改成果转化运用，为河南公司打造 “能力更强、贡献更大、基础更好” 标杆省分公司提供坚强保障。
K55	省公司党委每半年定期研究巡视整改和成果运用情况，按时更新并上传中央巡视整改监督管理平台，巩固整改质效。
L55	一是强化责任落实。聚力 “回头看” 反馈问题，围绕应收账款增长快的成因、治理电信网络诈骗的梗阻、科技创新空心化的能力不足、基础设施建设缓慢背后的作风不力、干部队伍年轻化的症结、违反中央八项规定精神的根源等重点问题，体系化、根本性解决。加强 “三台账”“三清单” 过程管控，拧紧各环节责任链条，推动 206 项整改举措成效持续转化。二是强化任务落实。把集团公司党组巡视作为检验中央巡视整改成效的主要体现，以高度的政治自觉接受集团公司党组巡视，促进政治意识提升；以坚决的政治态度做好党组巡视整改 “后半篇文章”，按党组巡视整改要求，反馈意见半年内做好集中阶段整改；以严实的工作作风做好整改过程管控，对举一反三不够、责任落实不力、问题剖析不深、问责追究不到位等情况严肃惩处。
M55	持续深化中央巡视整改落实，强化整改成果转化运用，为公司高质量发展提供坚强保障。
N55	对照省公司巡视整改要求，逐项落实焦作分公司整改任务；定期向党委专题汇报整改进展；巩固整改质效，防止问题反弹，将整改成果转化为制度规范。
O55	一是强化整改责任落实。对照省公司"回头看"反馈问题和巡视整改任务清单，逐项明确责任人和完成时限，加强整改过程管控，拧紧各环节责任链条，推动整改举措成效持续转化，防止问题反弹。

二是强化整改任务落实。以高度的政治自觉承接省公司巡视整改要求，按时完成集中阶段整改任务；落实省公司党委巡察办反馈的持续整改问题；对举一反三不够、责任落实不力、问题剖析不深等情况及时纠偏；将整改成果转化为制度规范，巩固整改质效，为公司高质量发展提供保障。
P55	持续推进中央巡视整改和巡察整改任务落实，围绕四个整改台账实行动态更新、跟踪督办和闭环管理，二季度本部门承接整改事项总体按序时推进，阶段性整改成效持续巩固。
Q55	按季度完成《中央巡视整改问题台账》《2023年以来集团公司党组巡视发现共性问题自查自纠整改台账》《省公司党委第三巡察组巡察反馈意见整改落实台账》《集团党组2025年第一批巡视整改现场检查评估发现问题自查自纠整改台账》有关内容更新，数据完善至5月底，并于6月18日前完成报送。
R55	一是逐项梳理党建工作部承接整改任务，补充持续整改措施、整改完成情况和时限要求；二是形成4个台账落实情况专题汇报材料，推动整改进展定期上报；三是坚持台账化、清单化、闭环化推进，强化“回头看”和成果转化，防止问题反弹。
S55	
